name,temp,humidity,precip,precipcover,windgust,solarradiation,solarenergy,uvindex,O3,SO2
bangkok,28.5,84.4,1.075,16.67,29.5,168.7,14.5,6,12.0,1.125
bangkok,29.0,76.5,1.632,16.67,38.9,214.2,18.4,8,7.0,22.541666666666668
bangkok,27.9,78.4,16.655,20.83,30.6,128.5,11.1,6,7.0,22.541666666666668
bangkok,29.5,74.7,0.023,4.17,28.8,121.0,10.4,5,8.0,3.5185185185185186
bangkok,29.5,70.1,0.045,4.17,29.2,112.2,9.6,5,7.0,22.541666666666668
bangkok,27.6,81.7,13.846,33.33,36.4,103.7,9.2,5,10.0,1.9230769230769231
bangkok,27.9,81.7,2.347,20.83,33.1,135.3,11.7,7,8.0,3.5185185185185186
bangkok,29.9,68.3,0.0,0.0,37.1,171.3,14.8,7,7.0,22.541666666666668
bangkok,28.8,75.0,16.102,16.67,37.1,144.7,12.6,5,6.0,12.0
bangkok,28.4,79.5,2.628,16.67,31.0,104.0,8.9,4,7.0,22.541666666666668
bangkok,29.0,77.1,0.139,8.33,23.8,184.0,16.0,8,13.0,2.15625
bangkok,30.0,70.1,0.0,0.0,29.5,235.5,20.4,9,9.0,3.342857142857143
bangkok,29.2,76.2,73.827,8.33,50.0,198.5,17.2,9,8.0,3.5185185185185186
bangkok,27.9,85.2,14.485,25.0,26.3,158.4,13.6,8,6.0,12.0
bangkok,28.2,81.8,1.67,20.83,28.8,101.5,8.9,6,9.0,3.342857142857143
bangkok,28.9,76.5,7.204,16.67,48.2,195.3,16.8,9,9.0,3.342857142857143
bangkok,29.2,76.8,6.49,16.67,33.5,187.5,16.2,7,6.0,12.0
bangkok,28.8,76.4,7.724,16.67,35.6,125.8,10.9,5,7.0,22.541666666666668
bangkok,28.3,81.3,7.277,12.5,27.4,121.4,10.5,6,7.0,22.541666666666668
bangkok,29.1,79.0,0.065,8.33,25.9,150.7,13.0,8,15.0,1.0
bangkok,30.1,68.4,0.024,4.17,25.2,220.1,19.0,8,14.0,1.25
bangkok,31.0,73.1,0.442,12.5,26.3,184.0,16.0,8,8.0,3.5185185185185186
bangkok,28.3,82.4,3.321,25.0,50.0,68.6,5.8,3,4.0,1.0
bangkok,27.2,88.9,26.339,25.0,30.6,76.7,6.6,4,8.0,3.5185185185185186
bangkok,28.4,81.9,0.928,8.33,25.2,155.3,13.3,7,10.0,1.9230769230769231
bangkok,29.7,76.9,2.055,8.33,24.8,202.1,17.4,9,14.0,1.25
bangkok,28.0,82.8,19.211,20.83,28.37777777777778,143.8,12.5,9,19.0,1.4482758620689655
bangkok,28.7,80.3,0.0,0.0,24.186842105263157,165.9,14.4,6,8.0,3.5185185185185186
bangkok,27.6,87.5,6.84,8.33,26.166666666666668,83.4,7.2,6,16.0,1.4242424242424243
bangkok,28.3,84.7,12.402,4.17,18.423529411764704,149.4,12.9,8,20.0,1.625
bangkok,29.6,79.6,11.495,8.33,20.5,163.7,14.1,8,9.0,3.342857142857143
bangkok,29.5,81.6,2.792,16.67,20.9,128.6,11.2,7,12.0,1.125
bangkok,28.6,81.9,56.432,16.67,27.0,167.5,14.4,7,8.0,3.5185185185185186
bangkok,27.4,87.7,5.757,12.5,22.3,93.3,8.1,4,10.0,1.0
bangkok,28.6,79.2,48.846,20.83,29.9,193.7,16.7,9,20.0,1.625
bangkok,27.6,86.0,33.807,29.17,34.6,115.4,10.0,6,13.0,2.15625
bangkok,25.7,94.9,56.973,33.33,24.8,58.2,5.0,3,6.0,1.0
bangkok,28.4,79.9,1.367,8.33,24.186842105263157,191.2,16.4,8,5.0,4.857142857142857
bangkok,27.8,84.1,57.946,20.83,35.238297872340425,159.8,13.7,6,13.0,2.15625
bangkok,28.7,79.5,0.243,8.33,24.1,155.1,13.5,6,10.0,1.0
bangkok,27.5,88.1,23.166,25.0,32.325,99.9,8.6,4,15.0,2.0
bangkok,27.7,88.2,56.618,16.67,42.5,117.9,10.2,6,10.0,1.9230769230769231
bangkok,28.0,85.3,33.964,33.33,22.7,145.7,12.5,8,8.0,3.5185185185185186
bangkok,28.9,80.4,2.444,25.0,24.8,163.5,14.4,6,10.0,1.9230769230769231
bangkok,29.6,72.9,0.591,8.33,27.4,177.0,15.4,7,8.0,3.5185185185185186
bangkok,29.1,76.4,3.943,16.67,22.0,109.2,9.7,5,5.0,4.857142857142857
bangkok,28.0,83.3,7.739,16.67,25.2,66.4,5.8,3,7.0,22.541666666666668
bangkok,28.6,74.9,12.683,12.5,29.5,191.1,16.5,8,6.0,12.0
bangkok,29.0,68.8,3.141,8.33,23.4,135.3,11.6,6,13.0,2.15625
bangkok,28.8,73.1,4.464,8.33,31.3,177.7,15.4,7,25.0,1.434782608695652
bangkok,27.5,84.5,57.36,29.17,20.5,137.9,12.0,7,11.0,1.894736842105263
bangkok,27.5,86.7,24.38,12.5,20.9,100.1,8.5,5,10.0,1.9230769230769231
bangkok,27.3,89.5,46.191,25.0,19.385714285714286,96.3,8.3,5,5.0,4.857142857142857
bangkok,26.9,93.3,10.656,25.0,22.0,57.0,4.8,2,8.0,3.5185185185185186
bangkok,25.5,96.8,16.238,29.17,14.933333333333335,25.6,2.1,1,14.0,1.25
bangkok,27.0,88.2,5.523,12.5,19.4,131.1,11.2,6,8.0,3.5185185185185186
bangkok,28.2,78.2,0.85,4.17,33.5,123.0,10.7,6,8.0,3.5185185185185186
bangkok,25.8,95.5,30.115,33.33,36.4,58.5,4.9,3,9.0,1.0
